"S45"	"S46"	"S47"	"S48"	"S49"	"S50"	"S51"	"S52"	"S53"	"S55"	"S56"	"S57"	"S58"	"S59"	"S60"	"S61"	"S62"	"S63"	"S64"	"S65"	"S66"	"S67"	"S68"	"S69"	"S70"	"S71"	"S72"	"S73"	"S75"	"S76"	"S77"	"S78"	"S79"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"	"S15"	"S16"	"S17"	"S18"	"S19"	"S20"	"S21"	"S22"	"S23"	"S24"	"S25"	"S26"	"S27"	"S28"	"S29"	"S30"	"S31"	"S32"	"S33"	"S34"	"S35"	"S36"	"S37"	"S38"	"S39"	"S40"	"S41"	"S42"	"S43"	"S44"	"S80"	"S81"	"S83"	"S84"	"S85"	"S86"	"S87"	"S88"	"S89"	"S90"	"S91"	"S92"	"S93"	"S95"	"S96"	"S97"	"S98"	"S100"	"S94"	"S99"
"3.8-1"	-0.0836185567010309	-0.201618556701031	-0.0706185567010309	-0.0696185567010309	-0.273618556701031	-0.222618556701031	-0.0186185567010309	0.340381443298969	0.155381443298969	-0.195618556701031	0.506381443298969	0.503381443298969	-0.120618556701031	-0.238618556701031	-0.169618556701031	-0.0616185567010309	-0.254618556701031	-0.00561855670103093	0.565381443298969	0.131381443298969	-0.0666185567010309	0.141381443298969	0.602381443298969	0.0833814432989691	-0.145618556701031	-0.0816185567010309	-0.149618556701031	0.300381443298969	-0.0946185567010309	-0.0946185567010309	-0.118618556701031	-0.00661855670103093	-0.300618556701031	-0.125618556701031	-0.344618556701031	-0.270618556701031	0.165381443298969	-0.182618556701031	-0.136618556701031	0.0833814432989691	0.0703814432989691	0.00438144329896907	-0.168618556701031	0.542381443298969	0.0763814432989691	-0.0516185567010309	-0.419618556701031	-0.0666185567010309	0.190381443298969	-0.140618556701031	0.0303814432989691	0.202381443298969	0.123381443298969	-0.263618556701031	0.341381443298969	-0.186618556701031	0.0373814432989691	0.255381443298969	-0.0346185567010309	-0.245618556701031	0.156381443298969	0.0573814432989691	0.0323814432989691	0.0323814432989691	0.00238144329896907	-0.0946185567010309	-0.245618556701031	-0.251618556701031	0.0583814432989691	-0.546618556701031	-0.376618556701031	-0.299618556701031	0.0593814432989691	-0.0696185567010309	-0.206618556701031	0.119381443298969	-0.219618556701031	-0.0296185567010309	0.213381443298969	0.252381443298969	-0.0686185567010309	-0.0366185567010309	-0.0326185567010309	0.203381443298969	0.0483814432989691	0.159381443298969	0.0993814432989691	0.118381443298969	-0.144618556701031	0.160381443298969	-0.00161855670103093	0.0963814432989691	0.329381443298969	0.0613814432989691	0.170381443298969	0.184381443298969	0.239381443298969
"A2M"	-0.0301649484536083	0.0348350515463918	-0.0311649484536083	0.345835051546392	-0.0891649484536083	0.595835051546392	0.0658350515463917	-0.255164948453608	0.00683505154639175	-0.470164948453608	0.0338350515463917	-0.183164948453608	-0.159164948453608	-0.0671649484536082	-0.0211649484536083	-0.236164948453608	0.0718350515463917	-0.0351649484536083	-0.0711649484536082	0.372835051546392	-0.286164948453608	0.303835051546392	0.0288350515463918	-0.0101649484536082	0.217835051546392	0.178835051546392	0.0698350515463917	-0.0731649484536082	0.868835051546392	0.272835051546392	0.0708350515463917	-0.0971649484536083	-0.192164948453608	-0.00116494845360825	-0.173164948453608	-0.176164948453608	-0.349164948453608	0.155835051546392	-0.279164948453608	0.0878350515463917	-0.000164948453608253	-0.134164948453608	-0.0211649484536083	-0.0811649484536082	0.564835051546392	-0.0871649484536083	-0.106164948453608	-0.0231649484536083	-0.156164948453608	0.108835051546392	0.162835051546392	0.0698350515463917	-0.317164948453608	0.0878350515463917	-0.0421649484536082	0.321835051546392	0.0108350515463917	-0.252164948453608	-0.131164948453608	0.0748350515463918	0.390835051546392	-0.0351649484536083	0.166835051546392	0.0488350515463917	-0.140164948453608	-0.234164948453608	-0.181164948453608	-0.126164948453608	0.244835051546392	-0.517164948453608	-0.0761649484536082	-0.125164948453608	-0.254164948453608	-0.364164948453608	0.0458350515463918	-0.247164948453608	0.0838350515463918	0.195835051546392	-0.372164948453608	0.682835051546392	-0.284164948453608	-0.680164948453608	-0.00116494845360825	0.380835051546392	-0.0441649484536083	0.389835051546392	-0.665164948453608	-0.0301649484536083	0.606835051546392	-0.298164948453608	0.190835051546392	-0.0281649484536083	0.0228350515463917	0.256835051546392	0.364835051546392	-0.0251649484536082	0.110835051546392
"AARS"	0.0481958762886598	-0.13280412371134	-0.0398041237113402	0.29019587628866	-0.18980412371134	0.35619587628866	-0.21880412371134	0.12519587628866	-0.0218041237113402	-0.22880412371134	0.0041958762886598	-0.0678041237113402	0.12319587628866	0.11319587628866	-0.23180412371134	0.0251958762886598	0.0161958762886598	0.16219587628866	0.0181958762886598	0.35519587628866	-0.15680412371134	0.29019587628866	0.0361958762886598	-0.22680412371134	0.0091958762886598	-0.15480412371134	0.0311958762886598	-0.20780412371134	0.25719587628866	-0.0428041237113402	-0.18980412371134	0.14219587628866	0.13719587628866	-0.11280412371134	-0.14980412371134	-0.0658041237113402	0.22019587628866	-0.15880412371134	-0.0948041237113402	-0.0938041237113402	-0.11480412371134	-0.12480412371134	-0.22480412371134	0.21719587628866	0.49919587628866	-0.0288041237113402	-0.22780412371134	0.16619587628866	0.16319587628866	-0.0108041237113402	-0.18380412371134	-0.00380412371134021	-0.0878041237113402	-0.0658041237113402	-0.20080412371134	-0.0798041237113402	0.33719587628866	-0.23080412371134	-0.0928041237113402	-0.0718041237113402	0.0041958762886598	-0.17180412371134	-0.26280412371134	-0.13280412371134	-0.0988041237113402	0.0721958762886598	-0.24380412371134	0.0051958762886598	-0.19380412371134	-0.41880412371134	-0.28380412371134	0.0841958762886598	0.18619587628866	0.18019587628866	-0.11580412371134	0.0391958762886598	-0.0218041237113402	-0.0168041237113402	0.16619587628866	-0.0108041237113402	0.41219587628866	0.16319587628866	0.16919587628866	0.0941958762886598	0.11019587628866	-0.11580412371134	0.0661958762886598	0.19819587628866	0.14519587628866	0.15519587628866	-0.23280412371134	0.14019587628866	0.21419587628866	0.0911958762886598	0.22819587628866	-0.15080412371134	-0.0628041237113402
"ABAT"	0.443051546391753	-0.0639484536082474	0.0575515463917526	-0.140948453608247	0.155551546391753	-0.266448453608247	0.0250515463917526	0.195051546391753	-0.684948453608247	0.792551546391753	0.0580515463917526	-0.380948453608247	0.0900515463917526	0.307051546391753	0.0850515463917526	-0.0354484536082474	-0.184448453608247	-0.0909484536082474	-0.256948453608247	-0.0634484536082474	0.203051546391753	-0.126448453608247	-0.0419484536082474	0.0130515463917526	0.0580515463917526	-0.195948453608247	-0.0889484536082474	-0.193948453608247	-0.187948453608247	-0.102448453608247	-0.237948453608247	-0.0409484536082474	0.161051546391753	-0.117948453608247	0.266051546391753	0.208051546391753	-0.0814484536082474	0.00455154639175258	0.101051546391753	0.0580515463917526	-0.0689484536082474	-0.0679484536082474	0.492551546391753	-0.0134484536082474	-0.230948453608247	0.0585515463917526	0.141051546391753	0.253551546391753	0.0790515463917526	0.156051546391753	0.238551546391753	-0.0299484536082474	-0.0909484536082474	0.294551546391753	0.0200515463917526	0.156051546391753	-0.166448453608247	0.370551546391753	0.128051546391753	0.235051546391753	0.0150515463917526	0.0710515463917526	0.257051546391753	0.304051546391753	0.308051546391753	0.452051546391753	0.290051546391753	0.0590515463917526	-0.102448453608247	0.129551546391753	0.453051546391753	-0.0174484536082474	0.0165515463917526	-0.164448453608247	-0.0694484536082474	0.0835515463917526	-0.252948453608247	-0.231448453608247	-0.152448453608247	-0.190948453608247	-0.221948453608247	-0.168948453608247	0.0850515463917526	-0.266948453608247	-0.197448453608247	-0.0774484536082474	-0.0839484536082474	-0.0709484536082474	-0.208448453608247	-0.228448453608247	-0.142448453608247	-0.859948453608247	-0.0769484536082474	-0.178448453608247	-0.266448453608247	0.132551546391753	-0.0789484536082474
"ABCA3"	0.469556701030928	-0.138443298969072	0.164556701030928	-0.416443298969072	0.400556701030928	-0.100443298969072	0.313556701030928	0.132556701030928	-0.167443298969072	0.739556701030928	0.149556701030928	-0.330443298969072	0.188556701030928	0.181556701030928	0.127556701030928	0.0155567010309278	-0.501443298969072	0.200556701030928	-0.326443298969072	-0.0544432989690722	0.425556701030928	-0.297443298969072	0.637556701030928	0.0705567010309278	-0.0674432989690722	-0.0584432989690722	-0.391443298969072	-0.233443298969072	-0.0124432989690721	-0.332443298969072	-0.384443298969072	0.342556701030928	0.140556701030928	0.126556701030928	0.350556701030928	0.116556701030928	0.212556701030928	0.190556701030928	-0.0454432989690721	0.267556701030928	-0.586443298969072	0.0265567010309278	0.155556701030928	-0.159443298969072	-0.695443298969072	0.320556701030928	-0.117443298969072	0.249556701030928	-0.221443298969072	0.122556701030928	0.00355670103092784	-0.0224432989690722	-0.359443298969072	0.107556701030928	0.279556701030928	-0.139443298969072	0.336556701030928	0.471556701030928	0.0165567010309278	0.345556701030928	-0.260443298969072	0.213556701030928	0.145556701030928	0.160556701030928	0.164556701030928	0.307556701030928	0.133556701030928	-0.133443298969072	-0.209443298969072	0.361556701030928	0.572556701030928	0.129556701030928	0.223556701030928	0.123556701030928	0.163556701030928	0.201556701030928	-0.0444432989690721	-0.555443298969072	-0.161443298969072	-0.121443298969072	-0.0824432989690722	-0.242443298969072	-0.277443298969072	-0.383443298969072	0.137556701030928	-0.306443298969072	-0.0794432989690722	-0.731443298969072	-0.356443298969072	-0.973443298969072	0.0815567010309279	-0.0364432989690722	-0.230443298969072	-0.179443298969072	-0.230443298969072	0.116556701030928	0.118556701030928
"ABCB1"	-0.0178969072164948	-0.103896907216495	-0.249896907216495	-0.215896907216495	-0.0508969072164948	-0.354896907216495	-0.00989690721649485	-0.0678969072164948	-0.0828969072164948	-0.480896907216495	0.633103092783505	0.252103092783505	-0.194896907216495	-0.293896907216495	-0.242896907216495	-0.166896907216495	0.0251030927835052	0.125103092783505	0.339103092783505	0.206103092783505	-0.279896907216495	-0.149896907216495	0.222103092783505	-0.128896907216495	0.150103092783505	-0.194896907216495	0.149103092783505	0.148103092783505	0.157103092783505	-0.229896907216495	0.162103092783505	-0.207896907216495	-0.282896907216495	0.200103092783505	-0.215896907216495	-0.0648969072164948	0.0691030927835052	0.0191030927835052	-0.0198969072164948	0.259103092783505	0.0151030927835052	-0.0578969072164948	-0.149896907216495	0.0451030927835052	0.0511030927835052	-0.0238969072164948	-0.137896907216495	-0.160896907216495	-0.0238969072164948	-0.0808969072164948	0.150103092783505	0.171103092783505	-0.0268969072164948	-0.148896907216495	-0.0288969072164948	0.687103092783505	-0.0408969072164948	-0.105896907216495	-0.154896907216495	0.202103092783505	0.703103092783505	0.200103092783505	0.428103092783505	-0.0178969072164948	-0.112896907216495	0.0701030927835052	-0.238896907216495	-0.234896907216495	0.0451030927835052	-0.0268969072164948	0.0331030927835052	-0.174896907216495	-0.00389690721649485	-0.280896907216495	0.204103092783505	0.0571030927835052	-0.385896907216495	0.00710309278350515	0.0941030927835052	0.272103092783505	-0.232896907216495	-0.301896907216495	0.00610309278350515	0.311103092783505	-0.138896907216495	-0.0748969072164948	0.155103092783505	-0.0118969072164948	0.114103092783505	-0.360896907216495	0.356103092783505	-0.234896907216495	0.272103092783505	0.310103092783505	-0.149896907216495	0.0101030927835052	0.346103092783505
"ABCG1"	0.175412371134021	-0.114587628865979	0.558412371134021	-0.394587628865979	-0.206587628865979	-0.534587628865979	0.428412371134021	0.215412371134021	-0.178587628865979	0.225412371134021	0.131412371134021	-0.0775876288659794	-0.296587628865979	0.464412371134021	-0.0995876288659794	0.0404123711340206	0.283412371134021	-0.113587628865979	0.0714123711340206	-0.206587628865979	0.260412371134021	-0.302587628865979	-0.000587628865979378	-0.0405876288659794	0.134412371134021	-0.433587628865979	0.234412371134021	-0.0985876288659794	-0.330587628865979	0.118412371134021	0.0694123711340206	0.151412371134021	0.113412371134021	0.455412371134021	-0.115587628865979	-0.00358762886597938	0.158412371134021	0.261412371134021	-0.0905876288659794	-0.125587628865979	0.00841237113402063	0.0774123711340206	0.00741237113402063	0.401412371134021	-0.201587628865979	0.172412371134021	0.375412371134021	0.264412371134021	-0.194587628865979	-0.150587628865979	0.220412371134021	0.140412371134021	-0.0705876288659794	-0.0655876288659794	0.124412371134021	-0.185587628865979	-0.291587628865979	0.292412371134021	-0.0885876288659794	-0.275587628865979	0.0884123711340206	-0.275587628865979	0.131412371134021	0.390412371134021	0.433412371134021	-0.188587628865979	0.433412371134021	0.0324123711340206	0.0124123711340206	-0.538587628865979	0.224412371134021	-0.203587628865979	0.341412371134021	0.431412371134021	0.280412371134021	0.323412371134021	-0.290587628865979	-0.244587628865979	0.0574123711340206	-0.265587628865979	-0.0365876288659794	-0.394587628865979	0.0454123711340206	-0.216587628865979	-0.281587628865979	-0.0665876288659794	-0.304587628865979	-0.296587628865979	-0.195587628865979	-0.507587628865979	0.130412371134021	-0.278587628865979	0.115412371134021	-0.102587628865979	-0.385587628865979	0.164412371134021	0.0914123711340206
"ABHD2"	-0.139443298969072	0.122556701030928	-0.0774432989690721	0.0255567010309278	-0.0854432989690722	-0.173443298969072	-0.162443298969072	-0.0114432989690721	-0.152443298969072	-0.0324432989690722	-0.270443298969072	-0.447443298969072	-0.132443298969072	-0.0844432989690722	-0.130443298969072	0.790556701030928	-0.0174432989690722	0.894556701030928	-0.00144329896907217	-0.203443298969072	-0.00644329896907217	-0.137443298969072	-0.103443298969072	-0.0454432989690721	0.112556701030928	0.161556701030928	-0.0774432989690721	0.610556701030928	-0.0284432989690722	0.0205567010309278	0.0455567010309278	-0.00944329896907214	0.359556701030928	0.403556701030928	-0.00644329896907217	-0.152443298969072	-0.000443298969072164	0.313556701030928	-0.0954432989690722	0.0465567010309278	0.0175567010309278	0.0785567010309279	0.135556701030928	0.0895567010309278	-0.182443298969072	-0.0474432989690722	0.0515567010309278	0.297556701030928	0.279556701030928	-0.365443298969072	1.29855670103093	-0.0804432989690722	0.380556701030928	-0.157443298969072	-0.240443298969072	-0.225443298969072	-0.257443298969072	-0.230443298969072	-0.133443298969072	0.166556701030928	0.000556701030927836	0.101556701030928	-0.0304432989690722	-0.117443298969072	-0.231443298969072	-0.130443298969072	0.0315567010309279	-0.125443298969072	-0.213443298969072	0.0765567010309278	-0.276443298969072	-0.138443298969072	0.0665567010309278	-0.118443298969072	0.218556701030928	-0.0824432989690722	-0.179443298969072	-0.0534432989690722	-0.155443298969072	-0.195443298969072	-0.0894432989690722	-0.109443298969072	0.550556701030928	-0.157443298969072	-0.0124432989690721	0.0185567010309278	0.0345567010309278	-0.0464432989690721	-0.0984432989690722	-0.0654432989690722	0.262556701030928	-0.350443298969072	-0.0904432989690722	-0.0794432989690722	-0.102443298969072	-0.145443298969072	0.0365567010309278
"ABLIM1"	-0.0378144329896907	-0.0408144329896907	0.0841855670103093	-0.104814432989691	-0.145814432989691	0.0781855670103093	-0.0828144329896907	-0.285814432989691	0.276185567010309	0.0401855670103093	0.254185567010309	-0.251814432989691	-0.0938144329896907	-0.536814432989691	0.161185567010309	-0.0998144329896907	-0.103814432989691	-0.00481443298969072	0.347185567010309	0.327185567010309	-0.416814432989691	0.0741855670103093	-0.0808144329896907	0.0701855670103093	0.0831855670103093	-0.260814432989691	-0.222814432989691	0.560185567010309	-0.0208144329896907	0.237185567010309	-0.111814432989691	0.134185567010309	0.0791855670103093	-0.0258144329896907	-0.0148144329896907	0.130185567010309	0.537185567010309	-0.175814432989691	0.0841855670103093	0.0471855670103093	-0.0868144329896907	-0.163814432989691	0.164185567010309	0.0331855670103093	0.0211855670103093	0.156185567010309	-0.00681443298969072	0.0531855670103093	0.0161855670103093	-0.0518144329896907	0.281185567010309	0.142185567010309	0.0501855670103093	-0.0358144329896907	0.233185567010309	0.0951855670103093	-0.197814432989691	-0.253814432989691	0.0981855670103093	0.0891855670103093	0.173185567010309	0.00618556701030928	0.168185567010309	0.110185567010309	-0.0958144329896907	-0.112814432989691	0.0231855670103093	-0.146814432989691	-0.0678144329896907	0.00318556701030928	-0.166814432989691	-0.355814432989691	-0.244814432989691	-0.206814432989691	0.165185567010309	0.116185567010309	0.0741855670103093	-0.154814432989691	-0.246814432989691	0.139185567010309	0.0651855670103093	-0.314814432989691	0.0421855670103093	-0.0618144329896907	0.0681855670103093	-0.154814432989691	-0.105814432989691	0.0451855670103093	-0.0368144329896907	0.357185567010309	0.194185567010309	-0.126814432989691	0.0221855670103093	0.105185567010309	-0.154814432989691	-0.274814432989691	0.0281855670103093
"ACADS"	0.0680515463917526	0.0150515463917526	-0.0689484536082474	-0.0959484536082474	-0.484948453608247	-0.139948453608247	-0.0679484536082474	0.153051546391753	-0.132948453608247	0.121051546391753	0.0550515463917526	-0.0209484536082474	0.161051546391753	0.0700515463917526	-0.197948453608247	-0.117948453608247	-0.118948453608247	0.00405154639175258	-0.237948453608247	0.00705154639175258	-0.270948453608247	-0.119948453608247	0.0760515463917526	0.127051546391753	-0.108948453608247	-0.165948453608247	-0.0529484536082474	0.0610515463917526	0.00205154639175258	-0.340948453608247	-0.196948453608247	-0.229948453608247	-0.235948453608247	0.462051546391753	-0.0479484536082474	-0.176948453608247	0.100051546391753	-0.00694845360824742	0.357051546391753	-0.00194845360824742	-0.0859484536082474	0.189051546391753	-0.0799484536082474	-0.244948453608247	-0.111948453608247	0.199051546391753	0.295051546391753	-0.0879484536082474	-0.301948453608247	0.102051546391753	-0.0989484536082474	-0.154948453608247	-0.130948453608247	0.227051546391753	0.136051546391753	0.611051546391753	-0.158948453608247	0.275051546391753	0.0870515463917526	0.240051546391753	0.223051546391753	0.216051546391753	0.141051546391753	0.0620515463917526	0.00105154639175258	0.395051546391753	-0.166948453608247	-0.0499484536082474	0.00205154639175258	0.00805154639175258	0.102051546391753	0.187051546391753	0.0390515463917526	0.0960515463917526	0.480051546391753	-0.228948453608247	-0.119948453608247	0.0440515463917526	-0.0299484536082474	-0.107948453608247	-0.0249484536082474	0.0450515463917526	0.0640515463917526	0.0260515463917526	-0.0629484536082474	0.0790515463917526	-0.0279484536082474	0.118051546391753	-0.126948453608247	-0.397948453608247	0.0980515463917526	-0.120948453608247	-0.0129484536082474	-0.0999484536082474	-0.0599484536082474	-0.0649484536082474	0.172051546391753
